newsletter,wine_name,vendor_description,score,review,price,detail_link
September 2017 Newsletter,"Champalou ""La Moelleuse"" Vouvray  2015 500 ML",,['95'],"(9/30/2017) ""Intense, with racy quince, green fig, mirabelle plum and yellow apple fruit zipping through, all while keeping an unctuous hint at the same time thanks to the sweet edge. The long finish has lovely tension and cut. A very focused, pure dessert wine. Drink now through 2040. 76 cases imported.""",38.99,https://vinchicago.com/wines/Champalou-La-Moelleuse-Vouvray--2015-500-ML-detail
September 2017 Newsletter,Chateau Tronquoy-Lalande St. Estephe Rouge 2010,,"['93', '92']","e (2/27/2013) ""A major sleeper of the vintage from the proprietors of Montrose, this wine is now overseen by the man who replaced Jean-Bernard Delmas, Herve Berland, who worked for many years at Mouton-Rothschild. With stunning richness, this blend of 50% Cabernet Sauvignon, 40% Merlot and the rest Petit Verdot exhibits lots of blueberry, boysenberry and mulberry notes, a full-bodied, voluptuously textured mouthfeel and terrific purity and length. The wine is very drinkable now and should continue to drink exceptionally well for at least another 12-15+ years. Drink Date 2013 - 2028.""",35.99,https://vinchicago.com/wines/6227-detail
September 2017 Newsletter,"Laurel Glen ""Counterpoint"" Sonoma Mountain Cabernet Sauvignon 2014","Soft but with a punch, this authentic Cabernet from Bettina Sichel offers medium tannins along with deep red and black fruits and a hint of olive, tobacco and black pepper.","['91', '93']","(12/31/2016) ""Blended with 10% Merlot, this wine sources grapes both from its famous estate, as well as from nearby Pickberry and Murray vineyards. It delights in luxuriously bright acidity and a jammy explosion of blackberry, chocolate, clove and tobacco, the texture roundly approachable.""",35.99,https://vinchicago.com/wines/6234-detail
September 2017 Newsletter,Bootleg Napa County Proprietary Red 2013,,['94'],"(10/28/2016) ""The 2013 Proprietary Red from Bootleg is a major sleeper of not only the vintage, but in its entire concept. There are just over 8,000 cases of this wine, which has been culled from KJ vineyards on Atlas Peak, Oakville, Mt. Veeder, Rutherford and Spring Mountain. The wine is a blend of 27% Cabernet Sauvignon, 22% Petite Sirah, 21% Zinfandel, 12% Merlot, and the rest Malbec and Petit Verdot. That's like throwing in the entire kitchen sink, but the result is a stunningly delicious, complex, big-time, sexy style of wine with a deep, opaque purple color, a beautiful nose of blackberries and blueberries, with some lavender Provencal herbs, licorice and a touch of espresso. The wine has a fabulous texture, a plush, full-bodied mouthfeel, and beautiful purity and depth. It's something that could only be made in California, given the blend, but it is off-the-charts in terms of its hedonistic appeal. At the same time, it is complex enough to satisfy the intellectual senses as well. Drink it over the next 5-6 years. A big-time winner.""",32.99,https://vinchicago.com/wines/Bootleg-Napa-County-Proprietary-Red-2013-750-ML-detail
September 2017 Newsletter,Paolo Scavino Barolo 2013,Hot price on this beautifully accessible Barolo!,"['93', '95', '93']","(6/30/2017) ""The Paolo Scavino 2013 Barolo sports the depth and elegance that famously characterizes the house style. Fruit is sourced from various points across the appellation and the specific blend changes according to the needs of the vintage. Among the various Barolo wines made by this estate, this wine is the most accessible and approachable for sure. The bouquet offers compelling aromas of black fruit and dried blackberry and there's plenty of spice, licorice and tar at the back. The wine shows its complexity as well as its varietal purity. You'll notice the handwritten signature of patron Enrico Scavino on the front label. Drink Date 2017 - 2030.""",32.99,https://vinchicago.com/wines/6230-detail
September 2017 Newsletter,"Domaine Bachey Legros ""Sous la Roche"" Santenay Blanc 2014",,['91'],"(9/2017) If a wine of this quality came from the neighboring Montrachet appellations of Chassagne or Puligny instead of Santenay, it'd be twice the price! This delicious Chardonnay comes from the 2014 vintage, an excellent one for the white wines of Burgundy. Sourced from estate-owned fruit, 100% barrel fermented, and aged in 25% new oak, it boasts a creamy mouthfeel, noticeable new wood tones, a precisely balanced structure along with citrus and orchard fruit flavors and a rocky/clay minerality.",28.99,https://vinchicago.com/wines/6259-detail
September 2017 Newsletter,Domaine Vacheron Sancerre 2016,This is one rocking bottle of Sancerre!,['93'],"(8/2017) Cousins Jean-Laurent and Jean-Dominique are best known for their otherworldly single-vineyard bottlings but it was this, their entry-level effort, that totally blew our minds. The wine gives a delicious array of fruits from the moment it is poured. That initial explosion of flavor is thrilling, but it's only the beginning. After 10 or 20 minutes in the glass, you'll begin to notice a serious display of chalk and minerality. Despite its modest alcohol level, the wine has a very plump and fleshy presence. The palate has such an engaging balance of fruit and texture that, until you realize your mouth is watering, you may not even notice the wonderfully electric acidity!",28.99,https://vinchicago.com/wines/Domaine-Vacheron-Sancerre-2016-750-ML-detail
September 2017 Newsletter,Domaine Sigalas Santorini Assyrtiko 2016,,['95'],"(6/2017) ""The 2016 Assyrtiko is unoaked and comes in at 14% alcohol. One of the island's benchmarks, this is always in fine form these day-and always rather hard to evaluate when it is young. Deceptively, this bottling doesn't seem intimidating on first taste, but it always hides many layers. I tend to decant them or taste them again the next day when they are young. Otherwise, you tend to miss too much. Wonderfully elegant and finishing with a salty nuance, this shows impeccable balance. Its best feature is the lingering and intense finish, with plenty of tension and grip. It has far more power than it seems on a casual sip and that power doesn't go away as the wine airs and warms. I tried it the next day, in fact, and it put on weight, absorbed the salt and showed even more power. Two days later, it still preened in its power and precision, fresh as a daisy and wholly unevolved. (The salt was back, too.) The gripping finish that coated the palate was simply impressive. This is another beauty from Sigalas, something that has a lot of upside potential still. Granting that I do not have them side by side, this might even be superior to the 2015. It's hard to overlook the superlative combination of concentration and intensity. If nothing else, it is a worthy competitor to the 2015 and fully its equal. While I am leaning up on it today, it is all about the potential as not many whites are this tightly wound. Try this again at the beginning summer 2019, and you will no doubt have a better experience. You can dive in now, if you insist, but I suspect this may not be fully expressive until 2020 or so. It should also age effortlessly, but let's start here and take the rest in stages. I won't be shocked if handles 20 years or more well, but let's be conservative for the moment.""",25.99,https://vinchicago.com/wines/6211-detail
September 2017 Newsletter,"Mark Ryan ""Board Track Racer - The Chief"" Columbia Valley Cabernet Sauvignon 2015",,['91'],"(9/2017) Mark Ryan's ""The Chief"" is a delicious Columbia Valley blend of 85% Cabernet Sauvignon with 11% Malbec and 4% Petite Verdot. It is full of dense, lush fruit flavors of black cherry, blackberry and cassis layered with oak-driven flavors of vanilla and mocha. Although full-bodied, the tannins are soft and silky and the texture is round without any rough edges. Notes of chocolate come through during the wine's long, smooth finish. Our low price makes this gem a must-try for Cab lovers and fans of big reds!",25.99,https://vinchicago.com/wines/6233-detail
September 2017 Newsletter,"Forge Cellars ""Classique"" Finger Lakes Pinot Noir 2014",From a partnership featuring Louis Barroul of Château Saint Cosme!,"['92', '93']","(5/2016) ""A beautiful wine that stands out as one of the best Pinot Noirs I tried from the Finger Lakes. The color is impressive for the region-a deep garnet that diminishes at the rim. The nose evokes Burgundy with its scents of sweet cherries, potting soil, and cedar. The palate displays a touch of the region's hallmark austerity but balances that with a fair amount of polish. While there is certainly more tannin than you would see in a Burgundy, they are more suave than in most Finger Lakes Pinots. An oak signature is certainly present, and while it does not distract, I certainly wouldn't want any more of it. Very nice, very well-made."" (New York)",24.99,https://vinchicago.com/wines/6210-detail
September 2017 Newsletter,Bodegas Muga Rioja Reserva 2013,,['92'],"(7/24/2017) ""This is an excellent 2013 with such purity and finesse. Cherry, stone and light cedar aromas follow through to a full body, very fine tannins and a fresh and clean finish. Hints of cedar. It shows a focused energy. Drink now.""",23.99,https://vinchicago.com/wines/6255-detail
September 2017 Newsletter,Amavi Walla Walla Valley Syrah 2013,,"['', '91']","(6/29/2016) ""The standout of the 2013s is the 2013 Syrah from Walla Walla. Incorporating a splash of Grenache and raised in 10% new French oak, it has terrific notes of black raspberries, blackberries, peppery herbs and violets in a medium to full-bodied, supple, elegant package that shines for it purity of fruit. It drops off a touch on the finish, but is still an outstanding wine made in a consumer-friendly, charming style. Drink Date 2016 - 2021.""",23.79,https://vinchicago.com/wines/6245-detail
September 2017 Newsletter,Peju Napa Valley Sauvignon Blanc 2016,,['91'],"(9/2017) Peju's beloved winemaker, Sara Fowler, was just named Napa Valley Winemaker of the Year for the second year in a row by a group of her peers in Napa Valley Life Magazine. She uses 100% stainless steel for this delicious Sauvignon Blanc. Look for exotic flavors of tropical fruits along with touch of grass on the clean lemony finish. Exactly what you would expect from a top end Napa Sauvignon Blanc.",22.99,https://vinchicago.com/wines/6260-detail
September 2017 Newsletter,"Three Wine Company ""Bigelow"" Contra Costa Zinfandel 2014","Named after Marcus James Bigelow, the farmer that planted the vineyard 130 years ago. Deep, dark, dense and multi-layered...","['92', '93']","(4/1/2017) ""Big, powerful and confidently ripe, this full-bodied wine oozes with luscious blackberry, wild sage and blueberry flavors that seemingly melt in the mouth. A great example of the late harvest style without being sweet, it's dry, concentrated and persistent on the finish.""",22.99,https://vinchicago.com/wines/6237-detail
September 2017 Newsletter,Chateau de Chambrun Lalande de Pomerol 2011,,['90'],"(4/29/2014) ""A big-time sleeper of the vintage from proprietor Silvio Denz, this sensational 2011 transcends the vintage as well as the reputation of the appellation. It exhibits a dense ruby/purple color along with plenty of chocolaty berry fruit and a plump, full-bodied, opulent, layered style. This is about as good as a Lalande de Pomerol can be. Drink it over the next 6-8 years.""",22.99,https://vinchicago.com/wines/6257-detail
September 2017 Newsletter,Black Stallion Napa Valley Cabernet Sauvignon 2013,,"['90', '93', '92']","(4/2016) ""The Indelicato family makes this wine at their Napa Valley property, using grapes from Oak Knoll, Rutherford, Atlas Peak and Oakville. It shows the quality of the 2013 vintage in deep, plummy flavors and warm notes of exotic spice. The tannins add umami breadth with scents of black mushrooms and earth. Ready to enjoy with braised lamb.""",22.79,https://vinchicago.com/wines/6250-detail
September 2017 Newsletter,Talley Vineyards Arroyo Grande Estate Chardonnay 2014,"At the winery this extremely classy Chardonnay goes for $27. Not only does our price blow that away, we also beat all 50 online retail listings. An exceptional bottle of Chardonnay here.","['90', '92', '92']","(6/2016) ""Pale gold. A lively, incisive bouquet evokes citrus and orchard fruits and white flowers, and an iodine nuance emerges as the wine opens up. Shows excellent clarity and depth to the fresh orange, pear and candied ginger flavors, which open up steadily with air. Smoothly combines power and vivacity and finishes very long and taut, with resonating mineral and floral notes. Drinking window: 2018 - 2023.""",20.99,https://vinchicago.com/wines/Talley-Vineyards-Arroyo-Grande-Estate-Chardonnay-2014-750-ML-detail
September 2017 Newsletter,"Girolamo Russo ""a'Rina"" Etna Rosso 2014","This is what Etna Rosso is all about! Made from 98% Nerello Mascalese and 2% Nerello Cappuccio, for that touch of spice. The French oak, black cherry flavors, minerality and fine tannin give the impression of a great Burgundy!","['93', '93', '94']","(11/22/2016) ""Extremely floral and delicately fruity. An Etna red with focus and precision. Medium to full body, refined tannins and a bright and fruity finish. Serious and linear. Drink in 2018.""",20.99,https://vinchicago.com/wines/6229-detail
September 2017 Newsletter,"Kir-Yianni ""Ramnista"" Naoussa Xinomavro 2013",,"['92', '93']","(8/2017) ""This displays xinomavro's magical ability to be both mouth-crushingly tannic and seductively delicate at once. It works because those tannins are filled with flavors, powering the wine through a forest's worth of truffle and dried cherry scents, while hints of leather and roses make the sides of your mouth juice up. Decant this if you open it now, and serve with something rich and fatty, like pork shanks; otherwise cellar it for ten years.""",19.99,https://vinchicago.com/wines/6243-detail
September 2017 Newsletter,Xavier Vins Muscat de Beaumes de Venise 2015 500 ML,"Imported especially for Vin Chicago, this Muscat de Beaumes de Venise is a real treat, offering beautiful acidity and not much more than a kiss of sweetness. AOC rules require a minimum ABV of 15% and Xavier has fortified it just up to that point. His goal was to focus on the aromatics and acidity while avoiding too much alcohol. It's a very tasty wine, and it comes in a very cool looking 500 ml bottle.",['93'],"(12/30/2016) ""Tasting just like the 2014, only richer and sweeter (although Xavier told me the goal here is less obvious sweetness), the 2015 Muscat de Beaumes de Venise offers a stunning nose of white peach, honeysuckle, sugar water and apricot. Full-bodied, rich, unctuous and decadent, with a big mid-palate and nicely balanced sweetness, drink it over the coming couple of years.""",19.99,https://vinchicago.com/wines/6239-detail
September 2017 Newsletter,Matanzas Creek Sonoma County Chardonnay 2015,The most highly rated Matanzas Chardonnay since 1995!,['92'],"(9/30/2017) ""Creamy vanilla and smoky oak flavors shade the mix of pear, fig, apricot and melon notes in this white, making for a complex, layered effort that's deep and persistent. Drink now through 2022.""",19.99,https://vinchicago.com/wines/6231-detail
September 2017 Newsletter,"Hofgut Falkenstein ""Krettnacher Euchariusberg"" Riesling Kabinett 2015",,['94'],"(4/2017) ""From ungrafted vines planted in the 1930s, the 2015 Krettnacher Euchariusberg Riesling Kabinett is very clear, precise and fresh but also deep, intense and mineral on the nose. Round, pure, piquant and salty, with great finesse and precision, this is a beautifully light, highly elegant but very complex and well-structured Kabinett that is probably one of the of greatest that has been made in 2015. It was bottled with 8% alcohol and 45 grams of residual sugar.""",19.99,https://vinchicago.com/wines/Hofgut-Falkenstein-Krettnacher-Euchariusberg-Riesling-Kabinett-2015-750-ML-detail
September 2017 Newsletter,Banshee Sonoma County Pinot Noir 2015,,"['91', '90']","(3/2017) ""The Banshee 2015 Pinot Noir (Sonoma County) is gorgeous. Ripe dark cherry, plum, spice and leather are front and center. Drink this juicy, exuberant Sonoma Pinot over the next handful of years. This is a fabulous wine for the money and one of the best values in California Pinot readers will come across.""",18.99,https://vinchicago.com/wines/6206-detail
September 2017 Newsletter,Tenuta delle Terre Nere Etna Bianco 2016,,"['90', '91']","(9/2017) A real beauty here from the side of Mount Etna, this organically produced white is a blend of 60% Carricante, 25% Catarratto, 10% Grecanico and 5% Minnella. Attractive complexity in the nose, with peach and white flowers combined with cinnamon, pepper and lots of minerality, leads to similar flavors on the crisp, fresh palate and a completely dry finish. Find a recipe for a local Sicilian dish called pasta con finocchi e sardi (pasta with fennel and sardines) and prepare to have your mind blown.",18.99,https://vinchicago.com/wines/6256-detail
September 2017 Newsletter,"Trivento ""Golden Reserve"" Uco Valley Cabernet Sauvignon 2013",,"['96', '92']","(5/21/2016) ""Aromas of stones, flowers and rich fruit. Yet remans fresh and vivid. Full body, juicy fruit and a savory finish. Riper style. Drink or hold.""",18.99,https://vinchicago.com/wines/6232-detail
September 2017 Newsletter,"Descendientes de Jose Palacios ""Petalos"" Mencia Bierzo 2015",,['92'],"(9/2017) The 2015 Pétalos is here and, once again, it is a winner! From the Bierzo region of Spain, this Mencia rocks beautifully floral aromas and a charming combination of dark fruits, smooth tannin, fine acidity and a healthy dose of minerality on the palate. The combination of black currant and violet mixed in with the savory notes of pepper, licorice and clove is to die for. Medium in body, it offers a very refined structure and a velvety mouthfeel. This is good now and will be even better in a year or two. If you have the time to decant this one, you'll be well rewarded for your effort.",18.99,https://vinchicago.com/wines/6254-detail
September 2017 Newsletter,Pazo Senorans Rias Baixas Albarino 2016,#35 - Wine Spectator's Top 100 Wines of 2017!,"['92', '91']","(9/30/2017) ""This big white is round and polished, with good weight and solid acidity behind the pear, blanched almond and white tea flavors. Ginger and briny notes give this a savory character. A muscular style. Drink now through 2022.""",18.99,https://vinchicago.com/wines/6252-detail
September 2017 Newsletter,"Newton ""Skyside"" Sonoma County Claret 2015",,['89'],"(7/2017) ""Skyside"" is the new brand name for Newton's wines that have long been been known as ""Red Label."" The 2015 Claret is a big-time winner with a very warm and inviting array of fruit forward flavors such as ripe black cherries, red raspberries, plum and a touch of cassis. It is well balanced with a soft mouthfeel, round textures and invigorating acidity, all layered by a touch of oak spice and whiff of green pepper. Enjoy this delicious, well-made red blend any night of the week or serve it at large gatherings as an all-purpose and crowd pleasing red.",Unlisted,https://vinchicago.com/wines/Newton-Skyside-Sonoma-County-Claret-2015-750-ML-detail
September 2017 Newsletter,"Maysara ""3 Degrees"" McMinnville Pinot Noir 2015",,['91'],"(9/30/2017) ""Lithe and vibrant, with expressive rose petal and black cherry aromas and spirited red plum and orange tea flavors. Drink now. 3,000 cases made.""",17.99,https://vinchicago.com/wines/6205-detail
September 2017 Newsletter,Churton Marlborough Sauvignon Blanc 2016,,['95'],"""A lovely ripe spectrum of fruit at the core surrounded by layers of lees-led light savoury moments and hints of asparagus. Zesty, mealy structure, weightier with a lovely lengthy finish. Drink 2017 - 2025.""",16.99,https://vinchicago.com/wines/Churton-Marlborough-Sauvignon-Blanc-2016-750-ML-detail
September 2017 Newsletter,Remo Farina Valpolicella Classico Superiore Ripasso 2015,,['90'],"(9/2017) Farina skillfully balances traditional and modern techniques to produce this pure, authentic, delicious bottling of 50% Corvina, 20% Rondinella and other grapes including Corvinone, Oselta and Molinara. The wine shows elegant, bright and dried red fruits, medium body and bright acidity. This benchmark wine is one of the best Ripassos you'll find at this price.",16.99,https://vinchicago.com/wines/6266-detail
September 2017 Newsletter,Decoy Sonoma County Zinfandel 2015,,"['90', '90']","(9/1/2017) ""Both dried and juicy red currants form the core of this impressive wine, made in larger quantities with a deft hand. Medium bodied and offering grip and structure, this restrained version of the variety doesn't skimp on flavor.""",Unlisted,https://vinchicago.com/wines/6236-detail
September 2017 Newsletter,"Chateau Puech-Haut ""Cuvee Prestige"" Languedoc Rouge 2014",,"['91', '91']","e (4/2016) ""A terrific value, the 2014 Languedoc Cuvee Prestige checks in as a blend of 55% Grenache and 45% Syrah that's brought up all in tank. It has tons of Mediterranean character in its sweet dark fruits, lavender, damp earth and peppery herb-laced bouquet. This gives way to a full-bodied, sexy, layered 2014 that has plenty of fruit, fine tannin and a hedonistic style that's just hard to resist. It's another outstanding vintage for this cuvee that's well worth a multi-bottle purchase. Drink it over the coming 4-5 years.""",16.79,https://vinchicago.com/wines/6249-detail
September 2017 Newsletter,"Chateau Ste. Michelle & Dr. Loosen ""Eroica"" Columbia Valley Riesling 2015",,"['90', '91']","(6/30/2017) ""The 2015 Riesling Eroica is another beautiful, pure and racy white that has vibrant acidity, medium-bodied richness and classy notes of lychee nut, petrol and honeyed minerality. Drink this pure, juicy and impeccably balanced beauty over the coming 4-5 years. It will keep for over a decade if you're so inclined as well. Drink Date 2017 - 2027""",16.79,https://vinchicago.com/wines/6065-detail
September 2017 Newsletter,"Collazzi ""I Bastioni"" Chianti Classico 2013","When we picked this wine, we thought it would sell for over $20. When we learned we'd be able to sell it for just fifteen bucks a bottle, we loaded up big-time!","['92', '92']","(7/2015) ""The 2013 Chianti Classico I Bastioni is terrific. Bright red berry, rose petal, mint and anise are some of the signatures in a refined Chianti Classico that exemplifies the style of wine that is typical of the northern reaches of the appellation. The 2012 also shows the potential at Collazzi, which appears to be considerable. Merlot and Malvasia Nera round out the blend. This is a jewel of a wine from the Frescobaldi family.""",14.99,https://vinchicago.com/wines/Collazzi-I-Bastioni-Chianti-Classico-2013-750-ML-detail
September 2017 Newsletter,Chateau de Pizay Morgon 2016,,['90'],(9/2017) What a great deal here! Attractive aromas of blackberry and black cherry. Medium in body with silky smooth tannins and a soft and gentle mouthfeel. Drink now with roast chicken or lay it down for another year or two.,14.79,https://vinchicago.com/wines/6258-detail
September 2017 Newsletter,"Tenuta Olim Bauda ""Centive"" Moscato d'Asti 2016",,['91'],"(7/2017) This single-vineyard bottling from Olim Bauda is just about as good as Moscato gets. Fresh, creamy, wellbalanced and very elegant, with juicy pineapple, peach and orange flavors. This is an extremely high quality Moscato.",13.99,https://vinchicago.com/wines/Tenuta-Olim-Bauda-Centive-Moscato-dAsti-2016-750-ML-detail
September 2017 Newsletter,Inama Soave Classico 2016,,"['90', '91']","(5/2017) ""Bright straw. Pear and apple on the fresh, deep nose. Then juicy with clean flavors of apple jelly, white stone fruit and minerals; has good weight and texture. Finishes clean, fresh and with a delightful crystalline quality. Very impressive.""",12.99,https://vinchicago.com/wines/6246-detail
September 2017 Newsletter,La Crema Monterey Chardonnay 2015,"Quoting a price of $20, Wine Spectator calls this a ""Smart Buy."" We've got this gem for six bucks less!",['90'],"(6/15/2017) ""Balanced and fruity, with juicy apricot, pear and guava flavors, accented by spice hints. Creamy notes linger on the pastry-filled finish. Drink now through 2021.""",12.99,https://vinchicago.com/wines/6224-detail
September 2017 Newsletter,"Domaine les Pins ""Les Rochettes"" Bourgueil Rouge 2015",An awesome value Cabernet Franc from a great Loire vintage!,"['90', '91']","(12/2016) ""This is structured young Bourgueil, with its stalky dry fruits and spicy character. The fruit is ripe with good potential for aging as the cedar character subsides and the generous fruit takes over. Drink from 2018. Editor's Choice""",12.99,https://vinchicago.com/wines/Domaine-les-Pins-Les-Rochettes-Bourgueil-Rouge-2015-750-ML-detail
September 2017 Newsletter,"Raats ""Original"" Unwooded Stellenbosch Chenin Blanc 2016",,"['90', '91', '90']","(2/2017) ""(12.5% alcohol): Vouvray-like scents of apple, honeysuckle and lanolin. Densely packed Chenin Blanc with a touch of sweetness easily handled by good acidity and a solid underlying spine. Finishes tactile, salty and dry, with a touch of phenolics contributing to the impression of grip. Lightly smoky throughout. This wine offers good weight and palate presence for its low alcohol.""",10.79,https://vinchicago.com/wines/6225-detail
September 2017 Newsletter,"Markus Huber ""Hugo"" Gruner Veltliner 2016",,['89'],"(9/2017) A very tasty new release from Markus Huber, who was the Falstaff Winemaker of the Year in 2015. Crisp and clean, it offers lime, peach and mineral flavors along with a long, dry finish.",9.99,https://vinchicago.com/wines/6261-detail
September 2017 Newsletter,Vinarija Zvonko Bogdan Serbia Chardonnay 2015,,['90'],"(7/2017) This surprising little gem of a Chardonnay comes not from California or France, but from the northern reaches of Serbia. The hypermodern winery with the latest technology is situated overlooking an idyllic lake that has been home to viticulture for over 2,000 years. We were stunned at the quality of this bottling. It has everything one is looking for in an accessible everyday Chardonnay. Medium-bodied, and with a soft creamy texture, the wine displays textbook Chardonnay notes of lemon zest, lemon meringue and bright tropical fruit. The quality-to-price ratio here is great. While Serbia may not be the next major vinous hotspot, gems like this are worth seeking out, especially for ten bucks!",9.99,https://vinchicago.com/wines/Vinarija-Zvonko-Bogdan-Serbia-Chardonnay-2015-750-ML-detail
September 2017 Newsletter,"Carlos Serres ""Old Vines"" Rioja Tempranillo 2015","All Rioja Alta fruit from vines over 50 years old. Clean, gutsy and loaded with pure Tempranillo fruit and spice. Great depth and balance.","['90', '92']","(12/2016) ""This shows a black-fruit and earthy character with hints of soft spices. Full body, wonderful freshness and vivacity and juicy tannins that lead into a long and delicious, fruity finish. Shows tension and soul. Drink now.""",8.99,https://vinchicago.com/wines/6247-detail
September 2017 Newsletter,Marestagno lle de Beaute Corsica Rose 2016,,"['88', '88']","(6/2017) While most Corsican wine comes from the west side of the Island, the Marestagno ""Ile de Beaute"" (Island of Beauty) comes entirely from the east side and is produced from 100% Sciaccarellu, an indigenous Corsican variety. Deeper in color than the last two vintages, this excellent value gives brisk red fruit notes of pomegranate and wild red berries. Perfect for parties, grilled fish or simple pasta dishes.",8.99,https://vinchicago.com/wines/Marestagno-lle-de-Beaute-Corsica-Rose-2016-750-ML-detail
September 2017 Newsletter,Tilia Mendoza Torrontes 2016,,['90'],"(12/30/2016) ""The pale and aromatic 2016 Torrontés is produced from new vines on granite soils in the Tolombón zone of Cafayate in the province of Salta. The nose has plenty of Moscatel pulp aromas with tons of white flowers and a sharp palate, as it was harvested early and the vineyards have a cold exposition. They are looking for freshness and in 2016 they certainly got it. The palate shows very tasty, with a notable absence of bitter taste in the finish and it's bone dry. This is really good for the price.""",7.99,https://vinchicago.com/wines/6262-detail
September 2017 Newsletter,Evodia Aragon Garnacha 2015,,['90'],"(9/2017) A partnership between importer Eric Solomon, Calatayud grape specialist Yolanda Diaz and winemaking genius Jean-Marc Lafage, Evodia is one of the best red wine values produced anywhere in the world! 100% Grenache from 40-100 year old vines, it has a super-pleasant juicy fruity beginning and then, once allowed some oxygen, reveals much deeper levels of flavor and texture. Notes of blackberry, black raspberry and black pepper interact with a schist minerality. The end result is a soft, medium-full bodied wine with layers of flavor and a complete structural experience not typically found at this price. Very impressive, this is one to buy by the case for parties and any-night-of-the-week enjoyment.",7.99,https://vinchicago.com/wines/6253-detail
September 2017 Newsletter,Oxford Landing Chardonnay 2016,"Offering nice roundness, this estate-grown Chardonnay from the Yalumba team is well made, well balanced, fresh and lively. Very solid, it's a steal at this price!","['88', '87', '90']","(7/17/2017) ""Very pretty sliced apple and honey character. Medium body with lovely density of fruit and a flavorful finish. Stone and gun metal aftertaste. Excellent value. Drink or hold. Screw cap.""",6.99,https://vinchicago.com/wines/6226-detail
September 2017 Newsletter,Mirassou California Pinot Noir 2015,,"['88', '90']","(9/2017) ""Red wine doesn't get much smoother-and values in Pinot Noir don't get much better-than this. The wine has attractive red- and black-cherry aromas, a sense of richness on the palate and a silky mouthfeel that's hard to resist. Subtlety and restraint keep this wine from tiring the taste buds. Best Buy.""",6.99,https://vinchicago.com/wines/6204-detail
August 2017 Newsletter,Il Poggione Brunello di Montalcino 2012,,['95'],"(2/28/2017) ""Il Poggione is a Brunello superstar and a vintage like this reveals every reason why that affirmation is true. From the second the 2012 Brunello di Montalcino pours into the glass, you know you are in for something special. The wine is darkly saturated and rich in appearance. Absent are those slightly amber or browning hues you often get with Sangiovese in a hot vintage. Nor does the wine show flat or tired characteristics. Instead, the quality of fruit is vibrant and rich. This is a healthy, generous and exuberant Brunello with dark density and succulent fruit flavors that are followed by integrated spice and tobacco. The balance is impressive and one thing you get here is fresh acidity. This is not to be underestimated, because the acidity quota in the 2012 vintage across the appellation is not as high or evident as usual. This is one of the year's best Brunellos.""",69.99,https://vinchicago.com/wines/Il-Poggione-Brunello-di-Montalcino-2012-750-ML-detail
August 2017 Newsletter,"Hyde de Villaine ""Hyde Vineyard"" Napa Valley Chardonnay 2014",,['98'],"(3/20/2017) ""This shows fabulous stone, dried apple and honey aromas that follow through to a full body, with fantastic focus and energy. Great acidity at the finish. Wow. The depth and length are incredible.""",Unlisted,https://vinchicago.com/wines/Hyde-de-Villaine-Hyde-Vineyard-Napa-Valley-Chardonnay-2014-750-ML-detail
August 2017 Newsletter,Chateau Branaire-Ducru Saint-Julien Bordeaux 2014,"A big name, classified-growth Bordeaux for under $45? Yep!","['94', '93', '93', '93']","(3/31/2017) ""Very pure and expressive, featuring lovely violet and cassis aromas and flavors that stream forth, backed by light anise and graphite hints. Maintains a fresh feel through the finish, with light minerality engaging with the fruit. Best from 2019 through 2028.""",42.99,https://vinchicago.com/wines/Chateau-Branaire-Ducru-Saint-Julien-Bordeaux-2014-750-ML-detail
August 2017 Newsletter,"Justin ""Justification"" Paso Robles Proprietary Red 2014",#24 - Wine Spectator's Top 100 Wines of 2017!,['94'],"(6/28/2017) ""Red Smooth-textured, graceful and refined, with a tenderness to the texture and tannins. Features a warm, inviting mix of red and dark berry flavors and subtle shades of licorice, light mocha and savory herbs, revealing floral scents and a long, persistent finish that echoes the core essence. Drink now through 2035.""",Unlisted,https://vinchicago.com/wines/Justin-Justification-Paso-Robles-Proprietary-Red-2014-750-ML-detail
August 2017 Newsletter,Gundlach Bundschu Sonoma Valley Cabernet Sauvignon 2013,,['92'],"(3/3/2016) ""The 2013 Cabernet Sauvignon from Sonoma shows juicy crème de cassis fruit, black licorice, nicely integrated toasty oak, an inky purple color and a medium to full-bodied delicious style. This is certainly a major sleeper of the vintage and one of the more attractively priced world-class Cabernet Sauvignons coming out of California's North Coast in this miraculous vintage for Bordeaux varietals. Drink now-2030+.""",38.99,https://vinchicago.com/wines/Gundlach-Bundschu-Sonoma-Valley-Cabernet-Sauvignon-2013-750-ML-detail
August 2017 Newsletter,"Beringer ""Private Reserve"" Napa Valley Chardonnay 2014",,['92'],"(11/30/2016) ""The fruit is ripe and juicy, seemingly sweet and shaded by spicy, toasty oak, allowing tiers of flavors to unfold in a graceful, elegant and understated manner. Drink now.""",29.99,https://vinchicago.com/wines/Beringer-Private-Reserve-Napa-Valley-Chardonnay-2014-750-ML-detail
